k_ID;kommun;ar_1950;ar_1951;ar_1952;ar_1953;ar_1954;ar_1955;ar_1956;ar_1957;ar_1958;ar_1959;ar_1960;ar_1961;ar_1962;ar_1963;ar_1964;ar_1965;ar_1966;ar_1967;ar_1968;ar_1969;ar_1970;ar_1971;ar_1972;ar_1973;ar_1974;ar_1975;ar_1976;ar_1977;ar_1978;ar_1979;ar_1980;ar_1981;ar_1982;ar_1983;ar_1984;ar_1985;ar_1986;ar_1987;ar_1988;ar_1989;ar_1990;ar_1991;ar_1992;ar_1993;ar_1994;ar_1995;ar_1996;ar_1997;ar_1998;ar_1999;ar_2000;ar_2001;ar_2002;ar_2003;ar_2004;ar_2005;ar_2006;ar_2007;ar_2008;ar_2009;ar_2010;ar_2011;ar_2012;ar_2013;ar_2014;ar_2015;ar_2016;ar_2017;ar_2018;ar_2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALE;Ale;12744;12812;12686;12763;12765;12762;12844;12912;12867;12892;13192;13512;13908;14059;14529;14825;15512;15854;15966;16715;17566;18355;19297;20558;21537;21980;22132;22652;22865;22884;23312;23373;23515;23562;23486;23412;23402;23492;23528;23853;24071;24517;25029;25204;25356;25377;25316;25338;25292;25329;25421;25593;25835;25993;26288;26405;26800;27092;27323;27394;27442;27577;27842;28074;28423;28862;29549;30223;30926;31402;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALI;Alingsas;23189;23386;23336;23325;23604;23616;23820;23903;24000;24156;24193;24394;24540;24675;25159;25714;25961;26141;26071;26350;26529;26633;26741;26954;27509;27796;28172;28519;28698;29109;29637;29979;30355;30758;31074;31394;31718;32051;32402;33043;33626;33936;34088;34212;34525;34758;34775;34824;34930;34963;35153;35257;35327;35530;35761;36010;36481;36739;37247;37515;37796;38053;38355;38619;39188;39602;40045;40390;41070;41420;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALV;Alvesta;18354;18409;18400;18512;18458;18584;18586;18464;18510;18698;18647;18630;18684;18602;18557;18815;18791;19024;18940;19131;19184;18858;18659;18969;18785;18784;18918;19018;19158;19214;19442;19846;19710;19773;19791;19518;19552;19515;19579;19767;19754;19839;19762;19813;20012;19714;19441;19387;19171;19035;18916;18957;18930;18879;18865;18684;18741;18776;18775;18757;18802;18917;19034;19280;19503;19581;19850;20026;20150;20134;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANE;Aneby;7212;7178;7172;7127;7159;7057;7023;7010;6978;6929;6874;6785;6765;6711;6671;6645;6539;6458;6318;6327;6296;6345;6341;6363;6452;6508;6565;6625;6764;6785;6873;6898;6933;6913;6903;6897;6881;6919;7002;7038;7159;7181;7187;7269;7284;7169;7083;6953;6806;6799;6682;6686;6631;6666;6624;6576;6551;6506;6523;6446;6393;6415;6407;6375;6426;6537;6603;6776;6832;6848;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARB;Arboga;13174;13603;13624;13751;13846;14007;13956;13941;13939;14031;14146;14267;14448;14604;14787;14920;14903;14920;14802;14791;14830;14876;14824;14820;14706;14717;14653;14698;14843;14834;14944;14734;14623;14575;14484;14441;14380;14384;14457;14536;14622;14605;14552;14572;14646;14554;14326;14105;14070;14036;13870;13616;13574;13514;13406;13380;13391;13369;13301;13302;13285;13302;13353;13493;13631;13858;13903;13934;14138;14087;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARJ;Arjeplog;5320;5418;5499;5601;5753;5711;5703;5706;5739;5624;5573;5483;5388;5266;5175;5063;4978;4871;4681;4505;4379;4378;4348;4266;4221;4192;4152;4133;4049;4034;4041;4000;3980;3960;3917;3927;3831;3818;3814;3815;3753;3743;3727;3730;3676;3697;3615;3575;3517;3455;3384;3313;3291;3259;3224;3159;3151;3089;3146;3143;3161;3114;3054;2980;2907;2887;2876;2821;2794;2785;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARV;Arvidsjaur;11096;10982;10943;10917;10861;10754;10653;10598;10479;10474;10317;10234;10058;9927;9651;9374;9257;9032;8692;8476;8311;8244;8216;8154;8092;8050;8063;8050;8127;8217;8392;8386;8336;8331;8264;8185;8136;8098;8074;8080;8081;8014;7965;7879;7974;7788;7716;7546;7401;7233;7148;7129;7017;6948;6894;6814;6791;6751;6665;6622;6529;6494;6467;6471;6484;6471;6442;6440;6334;6220;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARA;Arvika;30908;31039;30947;30781;30615;30744;30480;30151;29935;29803;29542;29404;29083;29037;28709;28385;28115;27863;27580;27419;27296;27387;27376;27356;27404;27446;27299;27277;27100;26962;26891;26827;26771;26654;26616;26558;26521;26532;26668;26803;26887;27057;27023;27035;27010;26919;26720;26643;26490;26353;26188;26192;26262;26302;26275;26265;26131;26250;26176;26100;26034;25907;25829;25817;25771;25841;26054;26060;26082;26045;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ASK;Askersund;13444;13448;13465;13451;13402;13414;13383;13306;13240;13053;12793;12602;12357;12193;11983;11765;11753;11619;11412;11292;11174;11070;11118;11186;11216;11342;11405;11484;11624;11675;11896;11823;11802;11712;11744;11614;11653;11723;11703;11879;12008;12090;12302;12320;12358;12230;12065;11911;11809;11621;11530;11483;11449;11539;11477;11461;11470;11394;11386;11307;11278;11134;11011;11096;11119;11151;11282;11175;11313;11377;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AVE;Avesta;24412;24772;25260;25819;26783;27710;28052;28296;28524;28839;29156;29543;29705;29812;29432;29431;29368;29082;28744;28379;28031;27803;27485;27485;27361;27153;27120;26904;26667;26471;26376;26063;25750;25527;25317;24969;24814;24731;24671;24776;24832;24707;24538;24352;24276;24010;23688;23267;22897;22714;22375;22330;22296;22249;22102;21954;21963;21886;21937;21762;21583;21486;21467;21582;22022;22781;23161;23256;23323;23178;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
